西安,0.6562500000000021,0.3883495145631069,0.6911648325394574,0.0,0.0,1.0,1,1,1,1,0.605263157894737,0.4444444444444444,no,yes
宝鸡,0.2750000000000028,0.3747572815533981,0.3994266174911529,0.35000000000000003,1.0,0.005847953216374248,1,1,1,1,0.605263157894737,0.49382716049382713,no,yes
咸阳,0.6499999999999989,0.5223300970873783,0.33819115736662136,0.8833333333333334,0.7919463087248321,0.0,1,1,1,1,0.34210526315789486,0.24691358024691357,yes,yes
铜川,0.9531249999999982,0.5941747572815527,0.1538875035463111,0.26666666666666666,0.5671140939597316,0.41228070175438586,1,1,1,1,0.4210526315789477,0.30864197530864196,no,no
渭南,1.0,0.52621359223301,0.0,0.8416666666666668,0.41275167785234895,0.34502923976608185,1,1,1,1,0.7894736842105262,0.3458024691358025,no,yes
延安,0.6593749999999993,0.7359223300970874,0.37888041092413133,0.5916666666666667,0.6140939597315436,0.2573099415204678,1,1,1,1,0.605263157894737,0.0,no,no
榆林,0.6187500000000007,1.0,1.0,0.10833333333333332,0.9429530201342281,0.14035087719298248,1,1,1,1,0.0,0.18518518518518517,yes,no
汉中,0.0,0.1281553398058246,0.11669229965208822,1.0,0.3892617449664428,0.3099415204678362,1,1,1,1,0.868421052631579,1.0,yes,yes
安康,0.8749999999999983,0.0,0.08693315016947634,0.575,0.657718120805369,0.22514619883040932,1,1,1,1,1.0,0.7962962962962963,no,no
商洛,0.9500000000000011,0.3456310679611654,0.04364575711875289,0.8333333333333334,0.6208053691275168,0.16666666666666663,1,1,1,1,0.5526315789473687,0.5432098765432098,no,no
