贵阳,106.07,26.11,73677,4.2,38.8,57,2.91,4.58,0.17,46.2,15.3,1129.5,yes,yes
遵义,106.17,27.13,43989,15.4,44.2,40.4,2.91,4.58,0.17,46.2,15.1,300,yes,yes
六盘水,104.18,25.19,45325,9.6,50.2,40.2,2.91,4.58,0.17,46.2,15,1200,yes,no
安顺,105.13,25.21,34345,17.7,32.4,49.9,2.91,4.58,0.17,46.2,14,1360,yes,yes
毕节,105.36,26.21,24544,21.2,38,40.8,2.91,4.58,0.17,46.2,12,1240,yes,no
铜仁,107.45,27.07,27366,23.7,28.4,47.9,2.91,4.58,0.17,46.2,13.5,1110,yes,no
黔东南苗族侗族自治州,107.4,26.24,42459,6.8,23,70.2,2.91,4.58,0.17,46.2,16.5,1240,yes,yes
黔南苗族布依族自治州,107.7,25.51,41580,14.7,35.9,49,2.91,4.58,0.17,46.2,16.1,1431.1,yes,no
黔西南布依族苗族自治州,104.35,24.38,37471,19.12,31.91,48.97,2.91,4.58,0.17,46.2,16.5,1352.8,yes,no
